index,Address,Category,City,Country,Latitude,Longitude,Name,Country2,City2,Query
0,Maipu 279,Fast Food Restaurant,Antofagasta,Chile,-23.647444434817817,-70.40068557731658,Pasteleria La Casa,Chile,Antofagasta,restaurant
0,San Martin #2326,Sushi Restaurant,Antofagasta,Chile,-23.649025953282965,-70.4003291309987,Majuyen,Chile,Antofagasta,restaurant
0,La Cañada,Seafood Restaurant,Antofagasta,Chile,-23.640807099236927,-70.39770226940011,Restaurant Aurorita,Chile,Antofagasta,restaurant
0,Maipu,Peruvian Restaurant,Antofagasta,Chile,-23.647576981928275,-70.40080023578231,Inkarri,Chile,Antofagasta,restaurant
0,Jorge Washington 2743,Chinese Restaurant,Antofagasta,Chile,-23.64532271178646,-70.39745780184919,Restaurant Rincon Oriental,Chile,Antofagasta,restaurant
0,Washington 2462,Gastropub,Antofagasta,Chile,-23.64721396333288,-70.39999786817536,Restaurant Antu,Chile,Antofagasta,restaurant
0,Iquique,Chinese Restaurant,Antofagasta,Chile,-23.633366412460507,-70.39378386050336,Mao-tan,Chile,Antofagasta,restaurant
0,Prat #752,Fried Chicken Joint,Antofagasta,Chile,-23.650028687749316,-70.39546839289571,Pollo Spiedo,Chile,Antofagasta,restaurant
0,Zenteno 21 local 236,Pizza Place,Antofagasta,Chile,-23.637988305861796,-70.39594888687134,Telepizza,Chile,Antofagasta,restaurant
0,"Sucre 671, Antofagasta, Región de Antofagasta",Peruvian Restaurant,Antofagasta,Chile,-23.649674386472384,-70.39427604606328,Gran Chimu,Chile,Antofagasta,restaurant
0,Almirante Latorre,BBQ Joint,,Chile,-23.64777315153522,-70.39711845752787,Bavaria,Chile,Antofagasta,restaurant
0,Manuel Antonio Matta 2660,Restaurant,Antofagasta,Chile,-23.649198750076895,-70.39520889036098,Restaurant Cuzco,Chile,Antofagasta,restaurant
0,Almirante Juan José Latorre 2404,Restaurant,Antofagasta,Chile,-23.649053102168253,-70.39876863834952,De Antaño,Chile,Antofagasta,restaurant
0,Salvador Allende #600,Fast Food Restaurant,Antofagasta,Chile,-23.62672634818498,-70.38852441347133,Empanadas Florencia,Chile,Antofagasta,restaurant
0,Condell 2644,Steakhouse,Antofagasta,Chile,-23.648529075724202,-70.39619123709099,Restaurant/Hotel El Arriero,Chile,Antofagasta,restaurant
0,Prat 637,Steakhouse,Antofagasta,Chile,-23.64905865907725,-70.39614474371908,Carnes Kar,Chile,Antofagasta,restaurant
0,Tte Ernesto Riquelme,Sandwich Place,Antofagasta,Chile,-23.646484179382902,-70.39254285573308,El Churrascón,Chile,Antofagasta,restaurant
0,Uribe,Fast Food Restaurant,Antofagasta,Chile,-23.649040396083315,-70.40116245951243,Pronto Copec,Chile,Antofagasta,restaurant
0,Balmaceda 2355,Pizza Place,Antofagasta,Chile,-23.64502965930388,-70.40321992589027,Pizza Hut,Chile,Antofagasta,restaurant
0,Capitán Arturo Prat Chacón 866,Fast Food Restaurant,Antofagasta,Chile,-23.650396267154274,-70.39503127690713,Don Pollo,Chile,Antofagasta,restaurant
