city,cityLabel,population,pa_s,pa_sLabel,coordenadas
http://www.wikidata.org/entity/Q179608,Nanning,6825000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(108.31667 22.81667)
http://www.wikidata.org/entity/Q179608,Nanning,6825000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(108.31501 22.81918)
http://www.wikidata.org/entity/Q58695,Cangzhou,6800000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.84519 38.30369)
http://www.wikidata.org/entity/Q38927,Maoming,6706000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.91783 21.66182)
http://www.wikidata.org/entity/Q71355,Huanggang,6667000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.87035 30.45143)
http://www.wikidata.org/entity/Q71355,Huanggang,6667000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.87991 30.45246)
http://www.wikidata.org/entity/Q404873,Xinyang,6634000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.06556 32.12278)
http://www.wikidata.org/entity/Q404873,Xinyang,6634000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(114.06722 32.12641)
http://www.wikidata.org/entity/Q187136,Luoyang,6549941,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.42447 34.65867)
http://www.wikidata.org/entity/Q210493,Yantai,6516900,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.266389 37.399722)
http://www.wikidata.org/entity/Q68695,Quanzhou,6480000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(118.58583 24.91389)
http://www.wikidata.org/entity/Q8678,Rio de Janeiro,6476631,http://www.wikidata.org/entity/Q155,Brazil,Point(-43.196388888 -22.908333333)
http://www.wikidata.org/entity/Q363479,Shangrao,6441000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.94287 28.45179)
http://www.wikidata.org/entity/Q363479,Shangrao,6441000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.963333333 28.441944444)
http://www.wikidata.org/entity/Q16666,Nanjing,6320000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(118.766666666 32.05)
http://www.wikidata.org/entity/Q182852,Kunming,6250000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(102.706111111 25.043333333)
http://www.wikidata.org/entity/Q426996,Nanchong,6183000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(106.07843 30.79913)
http://www.wikidata.org/entity/Q426996,Nanchong,6183000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(106.08473 30.79508)
http://www.wikidata.org/entity/Q28994,Zunyi,6127009,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(106.90722 27.68667)
http://www.wikidata.org/entity/Q28994,Zunyi,6127009,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(106.93363 27.70498)
http://www.wikidata.org/entity/Q360702,Lu'an,6090000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.49139 31.75694)
http://www.wikidata.org/entity/Q360702,Lu'an,6090000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.50778 31.75425)
